Make,Model,MakeCode,FamilyCode,YearGroup,MonthGroup,SequenceNum,Description,CurrentRelease,ImportFlag,LimitedEdition,Series,SeriesModelYear,BadgeDescription,BadgeSecondaryDescription,BodyStyleDescription,BodyConfigDescription,WheelBaseConfig,Roofline,ExtraIdentification,DriveDescription,DriveCode,GearTypeDescription,GearLocationDescription,GearNum,DoorNum,EngineSize,EngineDescription,Cylinders,FuelTypeDescription,InductionDescription,OptionCategory,CamDescription,EngineTypeDescription,FuelCapacity,FuelDeliveryDescription,MethodOfDeliveryDescription,GrossCombinationMAss,GrossVehicleMass,VIN,WheelBase,Height,Length,Width,KerbWeight,TareMass,PayLoad,Power,PowerRPMFrom,PowerRPMTo,Torque,TorqueRPMFrom,TorqueRPMTo,RonRating,SeatCapacity,ModelCode,BuildCountryOriginDescription,ValvesCylinder,EngineCycleDescription,EngineConfigurationDescription,EngineLocation,EngineNum,Acceleration,FrontTyreSize,RearTyreSize,FrontRimDesc,RearRimDesc,TowingBrakes,TowingNoBrakes,WarrantyCustAssist,FreeScheduledService,WarrantyYears,WarrantyKM,FirstServiceKM,FirstServiceMonths,RegServiceMonths,AltEngEngineType,AltEngBatteryType,AltEngCurrentType,AltEngAmpHours,AltEngVolts,AltEngChargingMethod,AltEngPower,AltEngPowerFrom,AltEngPowerTo,AltEngTorque,AltEngTorqueFrom,AltEngTorqueTo,AltEngDrive,NormalChargeMins,QuickChargeMins,NormalChargeVoltage,QuickChargeVoltage,KMRangeElectricEng,ElectricEngineLocation,TopSpeedElectricEng,GreenhouseRating,AirpollutionRating,OverallGreenStarRating,CO2Combined,CO2Urban,CO2ExtraUrban,FuelUrban,FuelExtraurban,FuelCombined,EmissionStandard,MaxEthanolBlend,AncapRating,VFactsClass,VFactsSegment,VFactsPrice,IsPPlateApproved,AverageKM,GoodKM,AvgWholesale,AvgRetail,GoodWholesale,GoodRetail,TradeMin,TradeMax,PrivateMax,NewPrice,Colour,Branch,SaleCategory,Sold_Date,Compliance_Date,Age_Comp_Months,KM,Sold_Amount,Aging,AgingMonths,Age_Comp_Months_Fixed,KM per Year,RelativePower,RelativeTorque
Ford,Falcon Ute,FORD,FALCONU,2013,0,10,FG MkII Ute Super Cab 2dr Spts Auto 6sp 758kg 4.0i (Flr),F,L,F,FG MkII,,,,Utility,Extended Cab,,,Flr,Rear Wheel Drive,RWD,Sports Automatic,Floor,6.0,2,3984,4.0,6,Petrol - Unleaded ULP,Aspirated,CC,DOHC with VVT,Piston,81.0,Multi-Point Injection,Electronic Sequential,4580.0,2510.0,6FPAAAJGCMC*#####,3104.0,1538.0,5105.0,1934.0,1752.0,1689.0,758.0,195.0,,6000.0,391.0,,3250.0,91.0,2,,AUSTRALIA,4.0,4 Stroke,In-line,Front,JGCM8R#####,,215/60 R16,215/60 R16,16x6.5,16x6.5,2300.0,750.0,1 year roadside,,3.0,100000.0,,,12.0,,,,,,,,,,,,,,,,,,,,,5.0,5.5,3.0,255.0,351.0,215.0,14.8,8.4,10.7,Euro 4,E10,5.0,Light Commercial,PU/CC 4X2,,T,120.0,80.0,11800.0,14850.0,13600.0,16800.0,10300.0,12200.0,15200.0,28990.0,White,Belmore (NSW),Auction,2017-06-27 00:00:00.000,10/2013,44.0,81001.0,13500.0,4,48,44.0,22091.18181818182,0.1113013698630137,0.22317351598173515
Hyundai,i30,HYUN,I30,2011,0,23,FD MY11 SX cw Wagon 5dr. Auto 4sp 1.6DT,F,L,F,FD,MY11,SX,,Wagon,,,,,Front Wheel Drive,FWD,Automatic,Floor,4.0,5,1582,1.6,4,Diesel,Turbo Intercooled,PASS,DOHC with VVT,Piston,53.0,Direct Injection,Electronic Sequential,3110.0,1910.0,KMHDB51SRBU######,2700.0,1520.0,4475.0,1775.0,1449.0,1410.0,461.0,85.0,,4000.0,255.0,1900.0,2750.0,,5,,SOUTH KOREA,4.0,4 Stroke,In-line,Front,D4FB # ######,,195/65 R15,195/65 R15,15x5.5,15x5.5,1200.0,500.0,,,5.0,-1.0,1000.0,,12.0,,,,,,,,,,,,,,,,,,,,,7.5,5.0,3.5,159.0,,,7.9,4.9,6.0,Euro 5,,5.0,Passenger,Small,< $40K,T,150.0,90.0,8250.0,10950.0,9750.0,12700.0,7200.0,8800.0,11400.0,26590.0,Ceramic White,Belmore (NSW),Dealer Only Auction,2016-11-09 00:00:00.000,10/2011,61.0,27873.0,10670.0,5,60,60.0,5574.6,0.05866114561766736,0.17598343685300208
Renault,Master,RENA,MASTER,2014,0,11,X62 Van Mid Roof LWB 4dr. AMT 6sp 1534kg 2.3DT (L3H2),F,L,F,X62,,,,Van,,Long Wheelbase,Mid Roof,L3H2,Front Wheel Drive,FWD,Sports Automatic Single Clutch,Dash,6.0,4,2299,2.3,4,Diesel,Turbo Intercooled,CC,Double Overhead Cam,Piston,105.0,Direct Injection,Electronic Sequential,,3510.0,VF1MAF4ECB#######,4332.0,2492.0,6198.0,2070.0,1976.0,1904.0,1534.0,110.0,,3500.0,350.0,1500.0,2750.0,,3,,FRANCE,4.0,4 Stroke,In-line,Front,M9TD680 #######,,225/65 R16,225/65 R16,16x6.5,16x6.5,2500.0,750.0,3yr Roadside,,3.0,200000.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,217.0,,,8.8,8.0,8.7,Euro 5,,,Heavy Commercial,"Trucks 3,501-7,500 kgs GVM",,T,90.0,60.0,23600.0,29800.0,26100.0,32800.0,21200.0,24000.0,29500.0,48490.0,White,Sunshine (VIC),Auction,2016-11-29 00:00:00.000,07/2014,28.0,65189.0,30200.0,2,24,24.0,32594.5,0.05566801619433198,0.1771255060728745
Toyota,Hilux,TOYO,HILUX,2010,0,28,KUN26R MY10 SR Utility Dual Cab 4dr Man 5sp 4x4 1065kg 3.0DT,F,L,F,KUN26R,MY10,SR,,Utility,Dual Cab,,,,4X4,4X4,Manual,Floor,5.0,4,2982,3.0,4,Diesel,Turbo Intercooled,CC,Double Overhead Cam,Piston,76.0,Direct Injection,Electronic Sequential,5060.0,2810.0,MR0FZ22G100######,3085.0,1810.0,5130.0,1760.0,1745.0,1740.0,1065.0,126.0,,3600.0,343.0,1400.0,3400.0,,5,KUN26R-PRMDYQ,THAILAND,4.0,4 Stroke,In-line,Front,1KD-#######,,205 R16 C,205 R16 C,16x6.0,16x6.0,2250.0,750.0,,,3.0,100000.0,5000.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,6.0,3.0,2.5,219.0,,,,,8.3,,,4.0,Light Commercial,PU/CC 4x4,,T,210.0,140.0,19100.0,23150.0,21600.0,26000.0,16900.0,19600.0,23800.0,44890.0,White,Perth (WA),Pickles Online,2017-05-01 00:00:00.000,01/2011,76.0,156631.0,13250.0,7,84,76.0,24731.21052631579,0.07220630372492837,0.19656160458452723
Holden,Commodore,HOLD,COMMODO,2015,0,19,VF MY15 SV6 Storm Sportwagon 5dr. Spts Auto 6sp 3.6i,F,L,T,VF,MY15,SV6,Storm,Wagon,,,,,Rear Wheel Drive,RWD,Sports Automatic,Floor,6.0,5,3564,3.6,6,Petrol - Unleaded ULP,Aspirated,PASS,DOHC with VVT,Piston,71.0,Direct Injection,Electronic Sequential,,,6G1FB8E##FL######,2915.0,1474.0,4939.0,1898.0,1776.0,1731.0,,210.0,,6700.0,350.0,,2800.0,91.0,5,8ER35-V88,AUSTRALIA,4.0,4 Stroke,V60,Front,L???###########,,245/45 R18,245/45 R18,18x8.0,18x8.0,2100.0,750.0,1yr Roadside,,3.0,100000.0,15000.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,5.5,8.5,4.0,222.0,307.0,173.0,12.9,7.3,9.3,Euro 4,E10,5.0,Passenger,Large,< $70K,T,50.0,30.0,22650.0,27200.0,25100.0,29900.0,20500.0,23100.0,27500.0,41490.0,Grey,Belmore (NSW),Auction,2017-02-14 00:00:00.000,08/2015,18.0,50756.0,27100.0,2,24,18.0,33837.333333333336,0.11824324324324324,0.19707207207207209
Mitsubishi,Triton,MITS,TRITON,2011,0,17,MN MY11 GLX Utility Double Cab 4dr Auto 4sp 4x4 974kg 2.5DT,F,L,F,MN,MY11,GLX,,Utility,Dual Cab,,,,4X4 Dual Range,4XD,Automatic,Floor,4.0,4,2477,2.5,4,Diesel,Turbo Intercooled,CC,Overhead Cam,Piston,75.0,Direct Injection,Electronic Sequential,5700.0,2900.0,MMAJRKB40B?*#####,3000.0,1780.0,5210.0,1800.0,1926.0,1816.0,974.0,131.0,,4000.0,350.0,,2000.0,,5,ML6W47 (CT2) E78 D53,THAILAND,2.0,4 Stroke,In-line,Front,4D56 ***####,,245/70 R16,245/70 R16,16x7.0,16x7.0,3000.0,750.0,5yr Roadside,,5.0,130000.0,1500.0,,12.0,,,,,,,,,,,,,,,,,,,,,5.0,3.0,2.5,244.0,299.0,213.0,11.3,8.0,9.3,,,4.0,Light Commercial,PU/CC 4x4,,T,150.0,90.0,14850.0,18250.0,16850.0,20600.0,13100.0,15200.0,18700.0,44390.0,White,Newcastle (NSW),Auction,2016-03-30 00:00:00.000,01/2012,50.0,38238.0,23000.0,5,60,50.0,9177.119999999999,0.0680166147455867,0.181723779854621
Jeep,Grand Cherokee,JEEP,GRAND,2010,9,6,WK MY11 Limited Wagon 5dr Spts Auto 5sp 4x4 5.7i,F,L,F,WK,MY11,Limited,,Wagon,,,,,4X4 Constant,4XC,Sports Automatic,Floor,5.0,5,5654,5.7,8,Petrol - Premium ULP,Aspirated,SUV,Pushrod,Piston,94.0,Multi-Point Injection,Electronic Sequential,6449.0,2949.0,1J4R25GT*BC######,2915.0,1781.0,4822.0,1943.0,2191.0,2136.0,758.0,259.0,,5200.0,520.0,,4300.0,95.0,5,,UNITED STATES,2.0,4 Stroke,V90,Front,T*C ######,,265/50 R20,265/50 R20,20x8.0,20x8.0,3500.0,750.0,3 year Roadside,,3.0,100000.0,1000.0,,6.0,,,,,,,,,,,,,,,,,,,,,3.0,5.5,2.5,327.0,490.0,233.0,21.1,10.0,14.1,,,,SUV,Large,< $70K,F,180.0,110.0,20650.0,24900.0,23350.0,27900.0,18500.0,21300.0,25600.0,60000.0,Blue,Belmore (NSW),Pickles Online,2017-07-13 00:00:00.000,01/2011,78.0,86426.0,21100.0,7,84,78.0,13296.307692307691,0.1182108626198083,0.23733455043359197
Ford,Ranger,FORD,RANGER,2009,4,25,PK XL Hi-Rider Utility Crew Cab 4dr Man 5sp 1139kg 3.0DT,F,L,F,PK,,XL,Hi-Rider,Utility,Dual Cab,,,,Rear Wheel Drive,RWD,Manual,Floor,5.0,4,2953,3.0,4,Diesel,Turbo Intercooled,CC,Double Overhead Cam,Piston,70.0,Direct Injection,Electronic Sequential,4694.0,2921.0,MNA?SFE90?W######,3000.0,1755.0,5173.0,1788.0,1782.0,1633.0,1139.0,115.0,,3200.0,380.0,,1800.0,,5,57936,THAILAND,4.0,4 Stroke,In-line,Front,WEAT-######,,235/75 R15,235/75 R15,15x6.5,15x6.5,3000.0,750.0,,,3.0,100000.0,,,12.0,,,,,,,,,,,,,,,,,,,,,5.0,3.0,2.5,251.0,309.0,217.0,11.7,8.2,9.5,,,3.0,Light Commercial,PU/CC 4X2,,T,240.0,160.0,8700.0,11450.0,10400.0,13450.0,7500.0,9400.0,12100.0,32990.0,White,Geebung (QLD),Auction,2016-11-28 00:00:00.000,08/2009,87.0,113499.0,8600.0,7,84,84.0,16214.142857142857,0.06453423120089787,0.2132435465768799
Suzuki,Swift,SUZU,SWIFT,2012,0,1,FZ GA Hatchback 5dr Auto 4sp 1.4i,F,L,F,FZ,,GA,,Hatchback,,,,,Front Wheel Drive,FWD,Automatic,Floor,4.0,5,1372,1.4,4,Petrol - Unleaded ULP,Aspirated,PASS,DOHC with VVT,Piston,42.0,Multi-Point Injection,Electronic Sequential,,1480.0,JSAFZC82S00######,2430.0,1510.0,3850.0,1695.0,1065.0,1035.0,415.0,70.0,,6000.0,130.0,,4000.0,91.0,5,,JAPAN,4.0,4 Stroke,In-line,Front,K14B-#######,,175/65 R15,175/65 R15,15x5.5,15x5.5,,,,,3.0,100000.0,1000.0,1.0,12.0,,,,,,,,,,,,,,,,,,,,,7.5,6.5,4.0,147.0,186.0,124.0,7.8,5.2,6.2,,,5.0,Passenger,Light,< $25K,T,130.0,80.0,6100.0,8150.0,7650.0,9650.0,5300.0,6900.0,9000.0,17690.0,White,Perth (WA),Auction,2017-07-18 00:00:00.000,04/2012,63.0,81261.0,7500.0,5,60,60.0,16252.2,0.06572769953051644,0.12206572769953052
Toyota,Landcruiser Prado,TOYO,PRADO,2007,0,7,KDJ120R GXL Wagon 8st 5dr Auto 5sp 4x4 3.0DT,F,L,F,KDJ120R,,GXL,,Wagon,,,,,4X4 Constant,4XC,Automatic,Floor,5.0,5,2982,3.0,4,Diesel,Turbo Intercooled,SUV,Overhead Cam,Piston,180.0,Multi-Point Injection,Mechanical,5400.0,2900.0,JTEBY29J5########,2790.0,1905.0,4850.0,1875.0,2180.0,1926.0,720.0,127.0,,3400.0,410.0,1600.0,2800.0,,8,KDJ120R-GKAEYQ,JAPAN,2.0,4 Stroke,In-line,Front,1KD-#######,12.2,265/65 R17,265/65 R17,17x7.5,17x7.5,2500.0,750.0,,,3.0,100000.0,5000.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,5.0,3.0,2.5,245.0,,,,,9.3,,,,SUV,Large,< $70K,T,250.0,150.0,17800.0,21700.0,20600.0,24900.0,15600.0,18600.0,22800.0,58413.0,1D4 - Silver Ash (T),Townsville (QLD),Auction,2016-05-03 00:00:00.000,06/2007,107.0,194804.0,17250.0,9,108,107.0,21847.17757009346,0.05825688073394496,0.18807339449541285
Toyota,Landcruiser Prado,TOYO,PRADO,2012,0,10,KDJ150R GXL Wagon 7st 5dr Spts Auto 5sp 4x4 3.0DT,F,L,F,KDJ150R,,GXL,,Wagon,,,,,4X4 Constant,4XC,Sports Automatic,Floor,5.0,5,2982,3.0,4,Diesel,Turbo Intercooled,SUV,Double Overhead Cam,Piston,150.0,Direct Injection,Electronic Sequential,5490.0,2990.0,JTEBH9FJ305######,2790.0,1845.0,4930.0,1885.0,2330.0,2320.0,660.0,127.0,,3400.0,410.0,1600.0,2800.0,,7,KDJ150R-GKAEYQ,JAPAN,4.0,4 Stroke,In-line,Front,1KD-#######,,265/65 R17,265/65 R17,17x7.5,17x7.5,2500.0,750.0,,,3.0,100000.0,5000.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,5.5,3.0,2.5,225.0,278.0,193.0,10.6,7.3,8.5,Euro 4,,5.0,SUV,Large,< $70K,T,130.0,80.0,31850.0,37650.0,35100.0,41400.0,29100.0,32600.0,38300.0,64490.0,Grey,Geebung (QLD),Dealer Only Auction,2016-01-13 00:00:00.000,11/2012,38.0,123736.0,37281.0,4,48,38.0,39074.52631578947,0.054506437768240344,0.1759656652360515
Mitsubishi,ASX,MITS,ASX,2015,0,1,XB MY15 LS Wagon 5dr CVT 6sp 2WD 2.0i,F,L,F,XB,MY15,LS,,Wagon,,,,,Front Wheel Drive,FWD,Constantly Variable Transmission,Floor,6.0,5,1998,2.0,4,Petrol - Unleaded ULP,Aspirated,SUV,DOHC with VVT,Piston,63.0,Multi-Point Injection,Electronic Sequential,3270.0,1970.0,JMFXTGA2WFZ######,2670.0,1615.0,4295.0,1770.0,1355.0,1315.0,615.0,110.0,,6000.0,197.0,,4200.0,91.0,5,XB2L45,JAPAN,4.0,4 Stroke,In-line,Front,**-#### 4B11,,215/60 R17,215/60 R17,17x6.5,17x6.5,1300.0,750.0,1yr Roadside,,5.0,100000.0,15000.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,5.0,SUV,Small,< $40K,T,50.0,30.0,13450.0,16650.0,15150.0,18600.0,11800.0,13600.0,16900.0,26990.0,Blue,Belmore (NSW),Fixed Price,2016-07-17 00:00:00.000,03/2015,16.0,43910.0,17328.0,1,12,12.0,43910.0,0.08118081180811808,0.14538745387453875
Subaru,Forester,SUBA,FORESTE,2015,1,1,S4 MY15 2.5i-L Wagon 5dr CVT 6sp AWD,F,L,F,S4,MY15,2.5i-L,,Wagon,,,,,Four Wheel Drive,4WD,Constantly Variable Transmission,S/Wheel & Floor,6.0,5,2498,2.5,4,Petrol - Unleaded ULP,Aspirated,SUV,DOHC with VVT,Piston,60.0,Multi-Point Injection,Electronic Sequential,,2015.0,JF2SJ9KC5FG######,2640.0,1735.0,4595.0,1795.0,1519.0,1472.0,,126.0,,5800.0,235.0,,4100.0,91.0,5,SJ9CK7C,JAPAN,4.0,4 Stroke,Horizontal,Front,*######,9.9,225/60 R17,225/60 R17,17x7.0,17x7.0,1500.0,750.0,12mth Roadside,,3.0,-1.0,12500.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,6.5,8.5,4.5,187.0,236.0,159.0,10.2,6.8,8.1,Euro 6,,5.0,SUV,Medium,< $60K,T,50.0,30.0,21900.0,24550.0,24350.0,27100.0,19800.0,22300.0,25700.0,32990.0,Satin White Pearl,Adelaide (SA),Auction,2017-09-27 00:00:00.000,03/2015,30.0,56715.0,22400.0,2,24,24.0,28357.5,0.08294930875576037,0.15470704410796576
Nissan,X-Trail,NISS,X-TRAIL,2015,0,5,T32 ST Wagon 5dr X-tronic 7sp 4WD 2.5i,F,L,F,T32,,ST,,Wagon,,,,,4X4 On Demand,4XO,Constantly Variable Transmission,Floor,7.0,5,2488,2.5,4,Petrol - Unleaded ULP,Aspirated,SUV,DOHC with VVT,Piston,60.0,Multi-Point Injection,Electronic Sequential,,2080.0,JN1TBNT32A0######,2705.0,1710.0,4640.0,1820.0,1661.9049518435645,1526.0,554.0,126.0,,6000.0,226.0,,4400.0,91.0,5,XTRAIL4PAST,JAPAN,4.0,4 Stroke,In-line,Front,QR25-######?,,225/65 R17,225/65 R17,17x7.0,17x7.0,1500.0,750.0,3yr roadside assist,,3.0,100000.0,10000.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,6.5,7.5,4.0,192.0,262.0,153.0,11.3,6.6,8.3,,,5.0,SUV,Medium,< $60K,T,50.0,30.0,19050.0,23100.0,21200.0,25500.0,16900.0,19200.0,23400.0,33980.0,Bronze,Newcastle (NSW),Auction,2017-11-22 00:00:00.000,02/2015,33.0,34589.0,20600.0,2,24,24.0,17294.5,0.07581661024610775,0.13598852313984405
Mazda,6,MAZD,6,2007,0,11,GG1032 Luxury Sports Hatchback 5dr Man 6sp 2.3i,F,L,F,GG1032,,Luxury Sports,,Hatchback,,,,,Front Wheel Drive,FWD,Manual,Floor,6.0,5,2261,2.3,4,Petrol - Premium ULP,Aspirated,PASS,Double Overhead Cam,Piston,64.0,Multi-Point Injection,Electronic Sequential,,,JM0GG1032########,2675.0,1435.0,4670.0,1780.0,1326.0,1306.0,,122.0,,6500.0,207.0,,4000.0,95.0,5,600C6H5LS,JAPAN,4.0,4 Stroke,In-line,Front,L3-######,,215/45 R17,215/45 R17,17x7.0,17x7.0,1000.0,550.0,,,3.0,-1.0,10000.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,6.0,5.0,3.0,210.0,,,9.5,7.0,8.8,,,4.0,Passenger,Medium,< $60K,T,250.0,150.0,5050.0,7550.0,6800.0,9350.0,4300.0,6100.0,8500.0,40955.0,16W - Black Mica (M),Perth (WA),Pickles Online,2017-10-23 00:00:00.000,09/2007,121.0,120832.0,4750.0,10,120,120.0,12083.2,0.09200603318250378,0.15610859728506787
Toyota,Landcruiser Prado,TOYO,PRADO,2015,6,18,GDJ150R Kakadu Wagon 7st 5dr Spts Auto 6sp 4x4 2.8DT,F,L,F,GDJ150R,,Kakadu,,Wagon,,,,,4X4 Dual Range,4XD,Sports Automatic,Floor,6.0,5,2755,2.8,4,Diesel,Turbo Intercooled,SUV,Double Overhead Cam,Piston,150.0,Direct Injection,Electronic Sequential,,2990.0,JTEBR9FJ705######,2790.0,1880.0,4930.0,1885.0,2445.0,2335.0,,130.0,,3400.0,450.0,1600.0,2400.0,,7,GDJ150R-GKTEYQ,JAPAN,4.0,4 Stroke,In-line,Front,1GD-#######,,265/60 R18,265/60 R18,18x7.5,18x7.5,2500.0,750.0,,,3.0,100000.0,5000.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,6.0,6.0,3.5,211.0,256.0,185.0,9.7,7.0,8.0,Euro 5,,5.0,SUV,Large,< $70K,T,50.0,30.0,60500.0,70000.0,65500.0,75600.0,56800.0,62100.0,69700.0,84490.0,070 - Pearl White (T),Sunshine (VIC),Auction,2017-09-12 00:00:00.000,12/2015,21.0,25681.0,69250.0,2,24,21.0,14674.857142857143,0.053169734151329244,0.18404907975460122
Toyota,Corolla,TOYO,COROLLA,2015,0,1,ZRE182R Ascent Hatchback 5dr S-CVT 7sp 1.8i,F,L,F,ZRE182R,,Ascent,,Hatchback,,,,,Front Wheel Drive,FWD,Constantly Variable Transmission,Floor,7.0,5,1798,1.8,4,Petrol - Unleaded ULP,Aspirated,PASS,DOHC with VVT,Piston,50.0,Multi-Point Injection,Electronic Sequential,,,JTNKU3JE501######,2600.0,1460.0,4275.0,1760.0,1275.0,1245.0,,103.0,,6400.0,173.0,,4000.0,91.0,5,ZRE182R-AHXDKQ,JAPAN,4.0,4 Stroke,In-line,Front,2ZR-#######,,205/55 R16,205/55 R16,16x6.5,16x6.5,1300.0,450.0,,,3.0,100000.0,5000.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,7.5,8.5,5.0,152.0,197.0,127.0,8.5,5.4,6.6,Euro 4,E10,5.0,Passenger,Small,< $40K,T,50.0,30.0,11950.0,13950.0,13650.0,15800.0,10600.0,12300.0,14700.0,21490.0,040 - Glacier White (T),Geebung (QLD),Dealer Only Auction,2016-04-28 00:00:00.000,02/2015,14.0,25814.0,15275.0,1,12,12.0,25814.0,0.08078431372549019,0.13568627450980392
Holden,Berlina,HOLD,BERLINA,2010,9,3,VE II Sedan 4dr. Spts Auto 6sp 3.0i,F,L,F,VE II,,,,Sedan,,,,,Rear Wheel Drive,RWD,Sports Automatic,Floor,6.0,4,2997,3.0,6,Petrol - Unleaded ULP,Aspirated,PASS,DOHC with VVT,Piston,71.0,Direct Injection,Electronic Sequential,3771.0,2171.0,6G1EL5E5*BL######,2915.0,1476.0,4894.0,1899.0,1704.0,1763.0,408.0,190.0,,6700.0,290.0,,2900.0,91.0,5,8EL69-278,AUSTRALIA,4.0,4 Stroke,V60,Front,LF1#10***1234*,,225/55 R17,225/55 R17,17x7.0,17x7.0,1600.0,1000.0,1yr Roadside,,3.0,100000.0,15000.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,5.0,8.5,3.5,246.0,349.0,188.0,14.7,7.9,10.3,Euro 5,E85,5.0,Passenger,Large,< $70K,T,180.0,110.0,6950.0,9500.0,8500.0,11200.0,6000.0,7700.0,10200.0,43490.0,Phantom,Belmore (NSW),Dealer Only Auction,2016-06-15 00:00:00.000,12/2010,66.0,154878.0,5390.0,6,72,66.0,28159.636363636364,0.11150234741784038,0.17018779342723006
Hyundai,i30,HYUN,I30,2011,0,23,FD MY11 SX cw Wagon 5dr. Auto 4sp 1.6DT,F,L,F,FD,MY11,SX,,Wagon,,,,,Front Wheel Drive,FWD,Automatic,Floor,4.0,5,1582,1.6,4,Diesel,Turbo Intercooled,PASS,DOHC with VVT,Piston,53.0,Direct Injection,Electronic Sequential,3110.0,1910.0,KMHDB51SRBU######,2700.0,1520.0,4475.0,1775.0,1449.0,1410.0,461.0,85.0,,4000.0,255.0,1900.0,2750.0,,5,,SOUTH KOREA,4.0,4 Stroke,In-line,Front,D4FB # ######,,195/65 R15,195/65 R15,15x5.5,15x5.5,1200.0,500.0,,,5.0,-1.0,1000.0,,12.0,,,,,,,,,,,,,,,,,,,,,7.5,5.0,3.5,159.0,,,7.9,4.9,6.0,Euro 5,,5.0,Passenger,Small,< $40K,T,150.0,90.0,8250.0,10950.0,9750.0,12700.0,7200.0,8800.0,11400.0,26590.0,Ceramic White,Belmore (NSW),Dealer Only Auction,2016-12-07 00:00:00.000,10/2011,62.0,41131.0,10700.0,5,60,60.0,8226.2,0.05866114561766736,0.17598343685300208
Hyundai,Santa Fe,HYUN,SANTA F,2014,0,3,DM MY14 Active Wagon 7st 5dr. Spts Auto 6sp 4x4 2.2DT,F,L,F,DM,MY14,Active,,Wagon,,,,,4X4 On Demand,4XO,Sports Automatic,Floor,6.0,5,2199,2.2,4,Diesel,Turbo Intercooled,SUV,Double Overhead Cam,Piston,64.0,Direct Injection,Electronic Sequential,,2600.0,KMHST81XSEU######,2700.0,1690.0,4690.0,1880.0,1968.0,1923.0,632.0,145.0,,3800.0,436.0,1800.0,2500.0,,7,DMW72FC5GDA760,SOUTH KOREA,4.0,4 Stroke,In-line,Front,D4HB*?#######,,235/65 R17,235/65 R17,17x7.0,17x7.0,2000.0,750.0,1yr Roadside Assist,1500km,5.0,-1.0,1500.0,1.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,192.0,,,9.6,5.9,7.3,,,5.0,SUV,Large,< $70K,T,75.0,45.0,24600.0,29300.0,27150.0,32250.0,22300.0,25000.0,29700.0,43990.0,Red Merlot,Hobart (TAS),Auction,2016-06-21 00:00:00.000,04/2014,26.0,122811.0,25500.0,2,24,24.0,61405.5,0.07367886178861789,0.22154471544715448
Toyota,Camry,TOYO,CAMRY,2015,4,6,ASV50R Altise Sedan 4dr Spts Auto 6sp 2.5i (Apr),F,L,F,ASV50R,,Altise,,Sedan,,,,Apr,Front Wheel Drive,FWD,Sports Automatic,Floor,6.0,4,2494,2.5,4,Petrol - Unleaded ULP,Aspirated,PASS,DOHC with VVT,Piston,70.0,Multi-Point Injection,Electronic Sequential,3300.0,2100.0,6T1BF3FK90#######,2775.0,1470.0,4850.0,1835.0,1465.0,1420.0,635.0,133.0,,6000.0,231.0,,4100.0,91.0,5,ASV50R-DETDKQ,AUSTRALIA,4.0,4 Stroke,In-line,Front,2AR-#######,,215/60 R16,215/60 R16,16x6.5,16x6.5,1200.0,500.0,,,3.0,100000.0,5000.0,3.0,9.0,,,,,,,,,,,,,,,,,,,,,6.5,6.5,3.5,183.0,255.0,142.0,10.9,6.0,7.8,Euro 4,E10,5.0,Passenger,Medium,< $60K,T,50.0,30.0,14250.0,17550.0,16000.0,19600.0,12500.0,14400.0,17800.0,26490.0,4S2 - Magnetic Bronze (T),Sunshine (VIC),Dealer Only Auction,2017-01-18 00:00:00.000,10/2015,15.0,27418.0,17100.0,2,24,15.0,21934.4,0.09078498293515358,0.157679180887372
Holden,Commodore,HOLD,COMMODO,2011,0,10,VE II Omega Sportwagon 5dr. Spts Auto 6sp 3.0i,F,L,F,VE II,,Omega,,Wagon,,,,,Rear Wheel Drive,RWD,Sports Automatic,Floor,6.0,5,2997,3.0,6,Petrol - Unleaded ULP,Aspirated,PASS,DOHC with VVT,Piston,71.0,Direct Injection,Electronic Sequential,,,6G1EK8E5*BL######,2915.0,1476.0,4897.0,1899.0,1766.0,1724.0,,190.0,,6700.0,290.0,,2900.0,91.0,5,8EK35-178,AUSTRALIA,4.0,4 Stroke,V60,Front,L?*###***1234*,,225/60 R16,225/60 R16,16x7.0,16x7.0,1600.0,750.0,1yr Roadside,,3.0,100000.0,15000.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,5.5,8.5,4.0,221.0,301.0,175.0,12.7,7.3,9.3,Euro 5,E85,5.0,Passenger,Large,< $70K,T,150.0,90.0,8000.0,10600.0,9450.0,12350.0,6900.0,8500.0,11100.0,41990.0,Silver,Newcastle (NSW),Auction,2016-02-10 00:00:00.000,10/2011,52.0,140263.0,10200.0,5,60,52.0,32368.384615384617,0.10758776896942242,0.16421291053227632
